userId,reviewId,createdAt,verified,platform
USR00429,REV00001,2024-04-27,true,android
USR01329,REV00002,2022-11-29,true,ios
USR01382,REV00003,2022-03-11,false,ios
USR00431,REV00004,2024-05-07,true,web
USR01131,REV00005,2021-09-28,true,desktop
USR00794,REV00006,2022-06-06,false,android
USR00442,REV00007,2021-08-17,true,android
USR01214,REV00008,2022-06-21,false,android
USR01095,REV00009,2021-06-10,true,ios
USR01075,REV00010,2025-03-21,false,desktop
USR00017,REV00011,2025-09-25,true,android
USR00901,REV00012,2023-08-01,false,desktop
USR00628,REV00013,2020-12-20,true,ios
USR00461,REV00014,2025-09-21,true,desktop
USR00827,REV00015,2023-10-12,false,ios
USR00412,REV00016,2022-04-24,true,ios
USR00944,REV00017,2022-10-04,true,android
USR01002,REV00018,2024-10-13,true,android
USR01264,REV00019,2025-07-07,true,android
USR01063,REV00020,2023-08-05,true,desktop
USR00692,REV00021,2024-04-19,true,android
USR00961,REV00022,2023-09-12,true,android
USR00353,REV00023,2021-01-15,false,web
USR00480,REV00024,2020-04-06,true,desktop
USR01462,REV00025,2023-06-28,false,android
USR00904,REV00026,2024-12-31,true,desktop
USR01434,REV00027,2023-06-01,false,web
USR01056,REV00028,2022-06-10,false,ios
USR00261,REV00029,2023-08-28,false,web
USR00573,REV00030,2023-12-10,true,web
USR00136,REV00031,2023-06-25,false,web
USR01444,REV00032,2024-08-30,true,desktop
USR00879,REV00033,2022-06-16,false,desktop
USR00982,REV00034,2020-11-16,true,android
USR00489,REV00035,2025-10-25,false,web
USR00510,REV00036,2020-12-23,true,ios
USR00278,REV00037,2024-12-29,true,web
USR00322,REV00038,2020-06-23,true,ios
USR00484,REV00039,2022-08-12,true,android
USR01393,REV00040,2025-02-03,true,android
USR01401,REV00041,2022-10-28,true,web
USR00230,REV00042,2022-01-31,false,web
USR01375,REV00043,2020-05-24,false,ios
USR00978,REV00044,2021-04-09,true,ios
USR00109,REV00045,2020-11-22,false,ios
USR00577,REV00046,2024-01-13,true,desktop
USR00973,REV00047,2025-09-12,true,android
USR00957,REV00048,2025-09-28,true,ios
USR01443,REV00049,2025-07-06,false,ios
USR01435,REV00050,2025-05-08,true,ios
USR00178,REV00051,2023-04-18,true,android
USR00111,REV00052,2021-12-25,true,web
USR00726,REV00053,2020-03-25,false,android
USR01481,REV00054,2021-06-28,true,desktop
USR00804,REV00055,2024-10-09,false,ios
USR01171,REV00056,2023-05-20,true,web
USR00790,REV00057,2020-09-04,false,android
USR00287,REV00058,2021-01-19,true,desktop
USR00908,REV00059,2024-03-11,true,android
USR00365,REV00060,2023-03-02,false,android
USR00510,REV00061,2024-09-06,false,ios
USR00554,REV00062,2021-11-05,false,desktop
USR00650,REV00063,2025-11-06,true,desktop
USR00294,REV00064,2025-01-11,true,web
USR01304,REV00065,2023-10-05,true,web
USR00140,REV00066,2022-07-17,true,web
USR01049,REV00067,2022-02-22,false,desktop
USR01313,REV00068,2024-01-25,true,desktop
USR00104,REV00069,2025-10-30,true,web
USR00098,REV00070,2021-12-19,true,ios
USR00066,REV00071,2024-07-14,false,web
USR01006,REV00072,2022-10-13,true,desktop
USR00638,REV00073,2023-04-12,false,web
USR01173,REV00074,2024-05-30,true,desktop
USR00961,REV00075,2023-04-20,false,web
USR01249,REV00076,2021-02-07,true,web
USR01016,REV00077,2021-06-30,true,desktop
USR00984,REV00078,2020-03-22,false,android
USR00864,REV00079,2020-11-24,true,ios
USR01357,REV00080,2023-01-29,false,android
USR00860,REV00081,2023-07-30,true,android
USR00986,REV00082,2023-02-05,true,web
USR00649,REV00083,2025-12-16,false,android
USR00334,REV00084,2024-12-14,false,android
USR00948,REV00085,2025-03-11,true,desktop
USR01169,REV00086,2020-12-19,true,web
USR00003,REV00087,2025-06-27,false,desktop
USR01325,REV00088,2024-10-02,true,android
USR00375,REV00089,2025-09-02,true,desktop
USR00450,REV00090,2025-07-28,false,web
USR00588,REV00091,2023-10-26,false,web
USR01349,REV00092,2024-08-25,false,desktop
USR00623,REV00093,2025-09-24,true,web
USR01432,REV00094,2020-02-01,true,ios
USR00775,REV00095,2024-07-07,false,android
USR00964,REV00096,2024-03-04,false,ios
USR00588,REV00097,2025-06-05,false,android
USR00440,REV00098,2021-08-10,true,web
USR00421,REV00099,2025-08-31,true,desktop
USR00709,REV00100,2024-02-27,true,android
USR00864,REV00101,2023-06-07,true,android
USR00007,REV00102,2023-02-25,true,web
USR01320,REV00103,2022-08-09,true,android
USR01351,REV00104,2024-09-24,true,ios
USR01007,REV00105,2024-10-21,true,android
USR01394,REV00106,2020-08-31,true,web
USR00296,REV00107,2023-07-18,false,android
USR01387,REV00108,2023-01-22,true,ios
USR00491,REV00109,2024-05-12,false,web
USR01311,REV00110,2022-04-11,true,desktop
USR01080,REV00111,2024-10-25,false,desktop
USR01070,REV00112,2025-12-08,true,ios
USR00431,REV00113,2024-11-11,false,ios
USR00714,REV00114,2021-08-04,true,android
USR01456,REV00115,2022-08-23,true,android
USR01294,REV00116,2021-06-29,true,android
USR00772,REV00117,2022-11-13,false,ios
USR00428,REV00118,2021-12-23,false,android
USR01485,REV00119,2020-08-23,false,web
USR00316,REV00120,2024-11-12,true,android
USR00921,REV00121,2024-12-08,true,desktop
USR01103,REV00122,2024-12-20,false,desktop
USR00155,REV00123,2020-10-03,false,web
USR00897,REV00124,2024-10-28,false,desktop
USR00467,REV00125,2020-05-15,true,web
